"","features","metric","seed"
"33","OverTime,MonthlyIncome_L,MonthlyIncome","Accuracy",17
"34","OverTime,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,YearsAtCompany,YearsWithCurrManager,TotalWorkingYears,StockOptionLevel,JobLevel,JobInvolvement,Age,JobSatisfaction,EnvironmentSatisfaction,JobRole,DistanceFromHome_L,DistanceFromHome,RelationshipSatisfaction,NumCompaniesWorked,EducationField,Department,Education,WorkLifeBalance,YearsSinceLastPromotion,TrainingTimesLastYear,MaritalStatus,MonthlyRate,MonthlyRate_L,ID,Gender,DailyRate,DailyRateLog_L,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,HourlyRate,HourlyRateLog_L,PerformanceRating,BusinessTravel","Kappa",17
"35","OverTime,TotalWorkingYears,YearsAtCompany","Accuracy",18
"36","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobLevel,StockOptionLevel,JobInvolvement,YearsWithCurrManager,Age,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,EducationField,EnvironmentSatisfaction,MonthlyRate,MonthlyRate_L,TrainingTimesLastYear,WorkLifeBalance,ID,DailyRate,DailyRateLog_L,Gender,JobRole,Education,NumCompaniesWorked,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,MaritalStatus,RelationshipSatisfaction,PerformanceRating,EmployeeNumber,BusinessTravel,PercentSalaryHike,PercentSalaryHike_L","Kappa",18
"37","TotalWorkingYears,OverTime,YearsAtCompany","Accuracy",19
"38","TotalWorkingYears,OverTime,YearsAtCompany,StockOptionLevel,Age,MonthlyIncome_L,MonthlyIncome,YearsInCurrentRole,JobLevel,YearsWithCurrManager,JobInvolvement,JobSatisfaction,Department,EnvironmentSatisfaction,TrainingTimesLastYear,DistanceFromHome_L","Kappa",19
"39","TotalWorkingYears,YearsAtCompany,OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,Department,WorkLifeBalance,JobRole,YearsSinceLastPromotion,EnvironmentSatisfaction,DistanceFromHome,DistanceFromHome_L,HourlyRate,HourlyRateLog_L,EmployeeNumber,EducationField,Education,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,DailyRate,TrainingTimesLastYear,DailyRateLog_L,ID,BusinessTravel,MaritalStatus,NumCompaniesWorked,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,Gender","Accuracy",20
"40","TotalWorkingYears,YearsAtCompany,OverTime,MonthlyIncome_L,MonthlyIncome,StockOptionLevel,YearsInCurrentRole,JobLevel,YearsWithCurrManager,JobInvolvement,Age,JobSatisfaction,Department,WorkLifeBalance,JobRole,YearsSinceLastPromotion,EnvironmentSatisfaction,EducationField,HourlyRate,DistanceFromHome,HourlyRateLog_L,EmployeeNumber,DistanceFromHome_L,Education,TrainingTimesLastYear,DailyRate,DailyRateLog_L,RelationshipSatisfaction,MonthlyRate,MonthlyRate_L,ID,BusinessTravel,MaritalStatus,NumCompaniesWorked,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,Gender","Kappa",20
"41","StockOptionLevel,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,YearsAtCompany,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,DistanceFromHome,DistanceFromHome_L,Department,JobRole,WorkLifeBalance,DailyRate,DailyRateLog_L,MonthlyRate,MonthlyRate_L,EducationField,YearsSinceLastPromotion,TrainingTimesLastYear,Education,ID,HourlyRate,HourlyRateLog_L,NumCompaniesWorked,EmployeeNumber,PerformanceRating,Gender,RelationshipSatisfaction,BusinessTravel,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L","Accuracy",21
"42","StockOptionLevel,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,YearsAtCompany,YearsInCurrentRole,JobLevel,YearsWithCurrManager,Age,JobInvolvement,JobSatisfaction,EnvironmentSatisfaction,Department,JobRole,DistanceFromHome_L,DistanceFromHome,MonthlyRate,MonthlyRate_L,WorkLifeBalance,DailyRate,DailyRateLog_L,YearsSinceLastPromotion,TrainingTimesLastYear,EducationField,Education,ID,HourlyRate,HourlyRateLog_L,NumCompaniesWorked,EmployeeNumber,PerformanceRating,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,Gender,RelationshipSatisfaction","Kappa",21
"43","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,JobInvolvement,JobLevel,YearsWithCurrManager,Age,JobSatisfaction,Department,EducationField,JobRole,EnvironmentSatisfaction,DistanceFromHome,DistanceFromHome_L,ID,WorkLifeBalance,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,Education,YearsSinceLastPromotion,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,Gender,NumCompaniesWorked,MaritalStatus,DailyRate,DailyRateLog_L,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,BusinessTravel","Accuracy",22
"44","OverTime,TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,StockOptionLevel,YearsInCurrentRole,JobInvolvement,JobLevel,YearsWithCurrManager,Age,JobSatisfaction,JobRole,EducationField,EnvironmentSatisfaction,Department,ID,DistanceFromHome,DistanceFromHome_L,TrainingTimesLastYear,WorkLifeBalance,MonthlyRate,MonthlyRate_L,YearsSinceLastPromotion,Education,RelationshipSatisfaction,HourlyRate,HourlyRateLog_L,Gender,MaritalStatus,NumCompaniesWorked,DailyRate,DailyRateLog_L,PerformanceRating,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel","Kappa",22
"45","OverTime,TotalWorkingYears,YearsAtCompany","Accuracy",23
"46","OverTime,TotalWorkingYears,YearsAtCompany,MonthlyIncome_L,MonthlyIncome,JobLevel,YearsInCurrentRole,YearsWithCurrManager,StockOptionLevel,Age,JobInvolvement,JobSatisfaction,Department,WorkLifeBalance,JobRole,TrainingTimesLastYear","Kappa",23
"47","StockOptionLevel,OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,JobLevel,JobInvolvement,YearsWithCurrManager,Age,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,JobRole,WorkLifeBalance,EducationField,EnvironmentSatisfaction,DailyRate,DailyRateLog_L,HourlyRate,HourlyRateLog_L,MonthlyRate,MonthlyRate_L,MaritalStatus,TrainingTimesLastYear,ID,BusinessTravel,Education,YearsSinceLastPromotion,NumCompaniesWorked,PercentSalaryHike,PercentSalaryHike_L,RelationshipSatisfaction,PerformanceRating,EmployeeNumber,Gender","Accuracy",24
"48","StockOptionLevel,OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,JobLevel,JobInvolvement,YearsWithCurrManager,Age,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,JobRole,EducationField,EnvironmentSatisfaction,WorkLifeBalance,HourlyRate,HourlyRateLog_L,DailyRate,DailyRateLog_L,MonthlyRate,TrainingTimesLastYear,MonthlyRate_L,MaritalStatus,ID,BusinessTravel,Education,YearsSinceLastPromotion,NumCompaniesWorked,RelationshipSatisfaction,PercentSalaryHike,PercentSalaryHike_L,EmployeeNumber,PerformanceRating,Gender","Kappa",24
"49","OverTime,MonthlyIncome_L,MonthlyIncome,TotalWorkingYears,JobInvolvement,YearsAtCompany,JobLevel,YearsInCurrentRole,StockOptionLevel,Age,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,ID,DistanceFromHome_L,DistanceFromHome,TrainingTimesLastYear,MonthlyRate,MonthlyRate_L,WorkLifeBalance,EducationField,JobRole,Department,NumCompaniesWorked,EmployeeNumber,DailyRate,DailyRateLog_L,Education,PerformanceRating,RelationshipSatisfaction,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,BusinessTravel,YearsSinceLastPromotion,HourlyRate,HourlyRateLog_L,Gender","Accuracy",25
"50","OverTime,MonthlyIncome_L,MonthlyIncome,JobInvolvement,TotalWorkingYears,YearsAtCompany,JobLevel,YearsInCurrentRole,StockOptionLevel,Age,YearsWithCurrManager,JobSatisfaction,EnvironmentSatisfaction,ID,TrainingTimesLastYear,DistanceFromHome_L,DistanceFromHome,EducationField,MonthlyRate,Department,MonthlyRate_L,WorkLifeBalance,JobRole,NumCompaniesWorked,EmployeeNumber,DailyRate,DailyRateLog_L,Education,PerformanceRating,RelationshipSatisfaction,MaritalStatus,PercentSalaryHike,PercentSalaryHike_L,YearsSinceLastPromotion,BusinessTravel,HourlyRate,HourlyRateLog_L,Gender","Kappa",25
"51","TotalWorkingYears,MonthlyIncome_L,OverTime,MonthlyIncome,YearsAtCompany,StockOptionLevel,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,Department,JobSatisfaction,Education,JobRole,TrainingTimesLastYear,RelationshipSatisfaction,YearsSinceLastPromotion,WorkLifeBalance,ID,DistanceFromHome,DailyRate,MonthlyRate,DistanceFromHome_L,DailyRateLog_L,MonthlyRate_L,EnvironmentSatisfaction,EducationField,HourlyRate,HourlyRateLog_L,MaritalStatus,NumCompaniesWorked,BusinessTravel,EmployeeNumber,PercentSalaryHike,PercentSalaryHike_L,PerformanceRating,Gender","Accuracy",26
"52","TotalWorkingYears,MonthlyIncome_L,MonthlyIncome,OverTime,YearsAtCompany,StockOptionLevel,JobLevel,YearsInCurrentRole,YearsWithCurrManager,Age,JobInvolvement,Department,JobSatisfaction,Education,TrainingTimesLastYear,JobRole,ID,WorkLifeBalance,RelationshipSatisfaction,YearsSinceLastPromotion,DistanceFromHome,DistanceFromHome_L,MonthlyRate,MonthlyRate_L,EnvironmentSatisfaction,DailyRate,DailyRateLog_L,EducationField,HourlyRate,HourlyRateLog_L,MaritalStatus,NumCompaniesWorked,BusinessTravel,EmployeeNumber,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,Gender","Kappa",26
"53","TotalWorkingYears,OverTime,MonthlyIncome_L,MonthlyIncome,YearsAtCompany,Age,YearsInCurrentRole,JobLevel,YearsWithCurrManager,StockOptionLevel,JobInvolvement,JobSatisfaction,Department,DistanceFromHome_L,DistanceFromHome,TrainingTimesLastYear,ID,DailyRate,DailyRateLog_L,Education,EnvironmentSatisfaction,NumCompaniesWorked,YearsSinceLastPromotion,JobRole,EducationField,MonthlyRate,MonthlyRate_L,RelationshipSatisfaction,WorkLifeBalance,MaritalStatus,EmployeeNumber,BusinessTravel,HourlyRate,HourlyRateLog_L,PerformanceRating,PercentSalaryHike,PercentSalaryHike_L,Gender","Accuracy",27
