"","model","predicted_threshold","predicted_acc","predicted_sen","predicted_spec","actual_threshold","actual_acc","actual_sen","actual_spec","features","fL","usekernel","adjust","seed"
"85","up",0.53,0.737696031260024,0.672272727272727,0.750087668030392,0.72,0.890804597701149,0.678571428571429,0.931506849315068,"Department,Gender,JobInvolvement,JobLevel,JobRole,OverTime,WorkLifeBalance",3,FALSE,2.5,1234
"86","down",0.52,0.71779027789928,0.700909090909091,0.720748100526008,0.57,0.816091954022989,0.785714285714286,0.821917808219178,"Department,Gender,JobInvolvement,JobLevel,JobRole,OverTime,WorkLifeBalance",4,FALSE,2.5,1234
"87","rose",0.54,0.744753039979005,0.655909090909091,0.761618936294565,0.62,0.879310344827586,0.642857142857143,0.924657534246575,"Department,Gender,JobInvolvement,JobLevel,JobRole,OverTime,WorkLifeBalance",3,FALSE,2.5,1234
"88","up",0.55,0.762325430845945,0.65030303030303,0.783898305084746,0.51,0.804597701149425,0.821428571428571,0.801369863013699,"JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome_L,OverTime,WorkLifeBalance",1,TRUE,4,1234
"89","down",0.54,0.743047619047619,0.696515151515151,0.751683226183518,0.57,0.793103448275862,0.857142857142857,0.780821917808219,"JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome_L,OverTime,WorkLifeBalance",0,TRUE,3,1234
"90","rose",0.61,0.794817892864433,0.610757575757576,0.830151957919346,0.57,0.827586206896552,0.821428571428571,0.828767123287671,"JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome_L,OverTime,WorkLifeBalance",0.5,TRUE,2.5,1234
"91","up",0.51,0.736538710524013,0.681060606060606,0.747247223845705,0.59,0.833333333333333,0.785714285714286,0.842465753424658,"JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",2,TRUE,1.5,1234
"92","down",0.47,0.691077887615548,0.762121212121212,0.677329047340737,0.55,0.839080459770115,0.785714285714286,0.849315068493151,"JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",0.5,FALSE,3,1234
"93","rose",0.53,0.755789169801417,0.65030303030303,0.77572764465225,0.56,0.781609195402299,0.785714285714286,0.780821917808219,"JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",4.5,FALSE,3,1234
"94","up",0.5,0.746006648587175,0.741818181818182,0.74697837521917,0.6,0.867816091954023,0.821428571428571,0.876712328767123,"Department,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,5,1234
"95","down",0.49,0.732760738343102,0.768939393939394,0.725675043834015,0.57,0.82183908045977,0.821428571428571,0.821917808219178,"Department,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,2.5,1234
"96","rose",0.5,0.745771440235617,0.748333333333333,0.74521332554062,0.68,0.85632183908046,0.821428571428571,0.863013698630137,"Department,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",0.5,TRUE,1,1234
"97","up",0.55,0.761717376724113,0.705151515151515,0.772852133255406,0.54,0.810344827586207,0.857142857142857,0.801369863013699,"Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",4.5,TRUE,4.5,1234
"98","down",0.45,0.685976613303006,0.814090909090909,0.661332554061952,0.52,0.78735632183908,0.857142857142857,0.773972602739726,"Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",2,TRUE,1.5,1234
"99","rose",0.52,0.738492403697548,0.722121212121212,0.741437755698422,0.49,0.781609195402299,0.857142857142857,0.767123287671233,"Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel",4.5,TRUE,1.5,1234
"100","up",0.62,0.817168343393695,0.589242424242424,0.860911747516073,0.54,0.816091954022989,0.821428571428571,0.815068493150685,"Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel",4.5,TRUE,3.5,1234
"101","down",0.49,0.715163502755665,0.76469696969697,0.705458796025716,0.55,0.833333333333333,0.785714285714286,0.842465753424658,"Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel",0.5,FALSE,1.5,1234
"102","rose",0.6,0.800557081620155,0.615606060606061,0.835967270601987,0.52,0.804597701149425,0.857142857142857,0.794520547945205,"Gender,JobInvolvement,JobRole,JobSatisfaction,OverTime,StockOptionLevel",2.5,FALSE,2.5,1234
"103","up",0.55,0.780473915959525,0.731060606060606,0.789754529514903,0.57,0.850574712643678,0.857142857142857,0.849315068493151,"Department,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,4,1234
"104","down",0.53,0.755593328084449,0.743333333333333,0.758036236119228,0.52,0.78735632183908,0.892857142857143,0.767123287671233,"Department,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3,TRUE,1.5,1234
"105","rose",0.54,0.773682442480973,0.717575757575758,0.784360023378141,0.67,0.908045977011494,0.785714285714286,0.931506849315068,"Department,JobInvolvement,JobLevel,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",3.5,TRUE,3.5,1234
"106","up",0.48,0.7148733560785,0.716363636363636,0.714728229105786,0.59,0.844827586206897,0.714285714285714,0.86986301369863,"Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",3.5,TRUE,3,1234
"107","down",0.55,0.742352433441227,0.677575757575757,0.754722384570426,0.65,0.839080459770115,0.785714285714286,0.849315068493151,"Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",0,TRUE,3.5,1234
"108","rose",0.49,0.727889831744088,0.716818181818182,0.730122735242549,0.44,0.718390804597701,0.892857142857143,0.684931506849315,"Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,OverTime,WorkLifeBalance",3.5,TRUE,2.5,1234
"109","up",0.49,0.722373953868136,0.758636363636364,0.715382817066043,0.71,0.931034482758621,0.75,0.965753424657534,"Gender,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome_L,OverTime,StockOptionLevel,WorkLifeBalance",5,TRUE,5,1234
